left,right
2.8,2.75
2.675,2.74
2.6799999999999997,2.723333333333333
2.67,2.71
2.598,2.7
2.591666666666667,2.688333333333333
2.562857142857143,2.6828571428571424
2.5495833333333335,2.6774999999999998
2.546666666666667,2.672222222222222
2.551,2.6659999999999995
2.5290909090909093,2.6599999999999997
2.518333333333333,2.6541666666666663
2.516153846153846,2.6476923076923073
2.5135714285714283,2.6428571428571423
2.5106666666666664,2.6379999999999995
2.53625,2.6331249999999997
2.527058823529412,2.628235294117647
2.5250000000000004,2.6249999999999996
2.53,2.6221052631578945
2.538,2.6189999999999998
2.5419047619047617,2.616190476190476
2.543181818181818,2.615
2.5408695652173914,2.6134782608695653
2.5437499999999997,2.612083333333333
2.5452,2.6115999999999997
2.546538461538461,2.6107692307692307
2.55,2.611111111111111
2.552142857142857,2.6114285714285717
2.556206896551724,2.6117241379310348
2.5549999999999997,2.6130000000000004
2.5564516129032255,2.6145161290322583
2.5596874999999994,2.6156250000000005
2.5612121212121206,2.617575757575758
2.564117647058823,2.620000000000001
2.561428571428571,2.622285714285715
2.5633333333333326,2.624722222222223
2.5713513513513506,2.628108108108109
2.579210526315789,2.632105263157895
2.5879487179487173,2.636410256410257
2.5967499999999992,2.6412500000000003
2.6048780487804875,2.6463414634146343
2.614285714285714,2.651904761904762
2.623255813953488,2.6574418604651164
2.6327272727272724,2.6631818181818185
2.641555555555555,2.668888888888889
2.6506521739130435,2.674782608695652
2.659787234042553,2.6808510638297873
2.668958333333333,2.686666666666667
2.678163265306122,2.69265306122449
2.6873999999999993,2.699
2.6935999999999996,2.7047999999999996
2.7025999999999994,2.7114
2.7025999999999994,2.719
2.707,2.727
2.7201999999999997,2.7352
2.7281999999999997,2.7438
2.7392000000000003,2.752
2.7496666666666663,2.7604
2.7593999999999994,2.7688000000000006
2.766599999999999,2.7774
2.7809999999999993,2.7862
2.793599999999999,2.7952
2.804999999999999,2.8045999999999998
2.8163999999999993,2.813799999999999
2.8279999999999994,2.8229999999999995
2.8308,2.8322
2.8442000000000003,2.8415999999999997
2.8556,2.8506
2.8642000000000003,2.8594
2.8716000000000004,2.8684
2.8804000000000003,2.8773999999999997
2.8902000000000005,2.8855999999999993
2.9012000000000002,2.8939999999999992
2.9101999999999997,2.9023999999999988
2.9199999999999995,2.910399999999999
2.929799999999999,2.918599999999999
2.9385999999999997,2.9259999999999993
2.9479999999999995,2.9333999999999993
2.9562,2.940999999999999
2.9674,2.947799999999999
2.9772000000000003,2.9545999999999992
2.9856000000000007,2.961599999999999
2.9952000000000005,2.9681999999999986
3.0036000000000005,2.974399999999999
3.0162000000000004,2.9807999999999995
3.0256000000000007,2.986999999999999
3.0306000000000006,2.9925999999999995
3.035400000000001,2.9977999999999994
3.039400000000001,3.002599999999999
3.043200000000001,3.006999999999999
3.0474000000000006,3.0111999999999988
3.0504000000000007,3.014999999999999
3.0536000000000008,3.0187999999999993
3.056000000000001,3.0223999999999993
3.059000000000001,3.026
3.0618000000000007,3.0294
3.0644000000000005,3.0326
3.0668000000000006,3.0361999999999996
3.0690000000000004,3.0395999999999996
3.0710000000000006,3.0425999999999997
3.0738000000000003,3.0452
3.079,3.0476
3.0904000000000003,3.0502
3.0984,3.0527999999999995
3.1028,3.0556
3.1066,3.0586
3.1126,3.0618
3.1164,3.065
3.1204,3.0685999999999996
